label,n_items,tier_tau0.6,matched_node,cosine,node_scene_freq,node_degree,in_mit,in_nyu
book rack,4,near,Rack,0.7878,1,8,1,0
cupcake pan,4,near,Pan,0.7842,84,144,1,1
mirror,4,exact,Mirror,1.0000,455,318,1,1
broiler pan,4,near,Pan,0.7173,84,144,1,1
buffet server,4,near,Buffet,0.8518,7,41,1,0
paper,4,exact,Paper,1.0000,16,59,1,1
box spring,4,far,Box,0.5996,30,95,1,1
spiralizer,4,far,Guitar,0.4319,5,15,1,1
paper holder,4,exact,Paper holder,1.0000,1,3,1,0
attachment,4,far,Towel holder,0.4473,15,29,1,1
shower hooks,4,near,Wall hooks,0.6996,1,5,1,0
shelf dividers,4,near,Shelves,0.7147,23,88,1,1
cookie sheet,4,near,Cookies,0.7626,1,9,1,0
canning jar,4,near,Jars,0.7621,1,6,1,0
shower ring,4,near,Shower,0.7064,55,66,1,1
wine aerator,4,near,Wine,0.6505,2,16,1,0
food covers,4,near,Food items,0.6045,1,2,1,0
food steamer,4,near,Cooker,0.6082,1,8,1,0
water filter,4,far,Water heater,0.5462,1,6,1,0
spice organizer,4,near,Spice rack,0.7038,2,8,1,0
mug warmer,4,near,Mug,0.7954,9,47,1,0
sink strainer,4,near,Strainer,0.7942,1,9,1,0
bean bag,4,exact,Bean bag,1.0000,7,37,1,1
mattress bag,3,near,Mattress,0.7220,4,13,1,1
mats,3,near,Mat,0.8268,3,14,1,1
storage bench,3,near,Storage unit,0.6658,2,12,1,0
curtain,3,exact,Curtain,1.0000,222,214,1,1
stirrer,3,near,Stir sticks,0.6265,1,11,1,0
sponge,3,exact,Sponge,1.0000,7,30,1,1
cutting mat,3,near,Mat,0.6789,3,14,1,1
microwave cover,3,near,Microwave,0.7625,240,232,1,1
measuring spoons,3,near,Spoons,0.7480,1,8,1,0
spice bottle,3,near,Spice jar,0.7947,1,8,1,0
credenza,3,far,Crib,0.4633,19,60,1,1
media cabinet,3,near,Cabinet,0.7103,745,415,1,1
butter pot,3,near,Pot,0.6918,82,147,1,1
burner covers,3,far,Gas burner,0.5619,1,8,1,0
sink saddle,3,near,Saddle,0.7557,1,11,1,0
mortar and pestle,3,far,Brick wall,0.4596,2,8,1,0
panini pan,3,near,Pan,0.8668,84,144,1,1
sharpening steel,3,far,Chopping knife,0.5329,1,13,1,0
coffee pod,3,near,Coffee machine,0.7803,2,14,1,0
carboy,3,far,Car toy,0.5271,1,7,1,0
night stand,3,near,Stand,0.6289,3,16,1,0
pie pans,3,near,Pans,0.8127,4,29,1,0
cooler bag,3,near,Bag,0.7704,18,69,1,1
pillow insert,3,near,Pillow,0.7951,218,202,1,1
steam mop,3,near,Mop bucket,0.6861,1,9,1,0
squeegee,3,far,Waterfall,0.3782,1,4,1,0
roaster,3,near,Cooker,0.6490,1,8,1,0
saucepot,3,near,Saucer,0.7385,4,19,1,0
steamer basket,3,near,Basket,0.6645,146,253,1,1
banneton,3,far,Banister,0.5051,1,6,1,0
baking sheet,3,near,Sheet,0.6267,2,8,1,0
valet,3,far,Cart,0.4473,3,21,1,1
waste can,3,near,Trash can,0.7927,63,122,1,1
pastry cloth,3,near,Pastry,0.7981,1,10,1,0
pastry blender,3,near,Pastry,0.8123,1,10,1,0
footstool,3,exact,Footstool,1.0000,2,11,1,0
tote bags,3,near,Bag,0.6357,18,69,1,1
glass set,3,near,Glass,0.7822,110,181,1,1
wine bottle opener,3,near,Wine bottle,0.7060,11,61,1,1
gloves,3,near,Glove,0.8706,1,18,1,0
topper,3,far,Granite top,0.4422,1,9,1,0
tortilla warmer,3,far,Blanket,0.4271,178,180,1,1
trays,3,near,Tray,0.8972,24,91,1,1
trivet,3,near,Duvet,0.6121,6,25,1,0
tumblers,3,far,Mugs,0.5944,5,27,1,1
basket unit,3,near,Basket,0.7988,146,253,1,1
egg cup set,3,near,Eggs,0.6696,1,8,1,0
water filters,3,far,Water glasses,0.5582,1,6,0,1
floor cleaner,3,near,Vacuum cleaner,0.7271,1,6,1,0
food saver,3,far,Freezer,0.5489,1,11,1,0
air purifying bag,3,far,Bag,0.4920,18,69,1,1
water filtration system,3,far,Water dispenser,0.4325,1,8,1,0
baking set,3,far,Ovens,0.5755,1,10,1,0
baking mats,3,near,Mat,0.6014,3,14,1,1
food cover,3,near,Food container,0.6483,1,9,1,0
wash bags,3,near,Washcloths,0.6273,1,7,1,0
cake pan set,3,near,Pans,0.7014,4,29,1,0
canopy,3,exact,Canopy,1.0000,5,23,1,0
sink liner,3,near,Sink,0.7348,801,403,1,1
shoe bags,3,near,Shoes,0.7662,7,34,1,1
shoe organizer,3,near,Shoe rack,0.7248,1,6,1,0
shoe box,3,near,Box,0.7093,30,95,1,1
cooking bags,3,near,Bag,0.6012,18,69,1,1
pasta pot,3,near,Pot,0.7293,82,147,1,1
encasement,3,far,Bookcase,0.5806,8,32,1,0
tablecloth protector,3,near,Tablecloth,0.8423,54,129,1,1
suction cups,3,near,Cups,0.6142,16,86,1,1
beverage bottle,3,near,Glass bottle,0.8476,3,16,1,1
blades,3,near,Knives,0.7072,5,36,1,0
kit,3,far,Bag,0.5259,18,69,1,1
labels,3,far,Maps,0.4566,1,6,1,0
swab,3,far,Drain,0.4434,4,6,1,1
storage system,3,near,Storage unit,0.8449,2,12,1,0
kitchen island,3,exact,Kitchen island,1.0000,27,81,1,1
bin,3,exact,Bin,1.0000,1,9,1,0
strips,3,far,Striped cloth,0.5358,1,11,1,0
bedding set,3,near,Bedding,0.8008,109,106,1,1
bedding encasement,3,near,Bedding,0.7772,109,106,1,1
board,3,exact,Board,1.0000,1,8,1,0
dining chairs,3,exact,Dining chairs,1.0000,2,13,1,0
mason jars,3,near,Jars,0.8308,1,6,1,0
diffuser,3,far,Dryer,0.5372,2,13,1,0
bowl brush,3,near,Bowl,0.6388,203,268,1,1
martini glass,3,near,Beverage glass,0.7898,1,9,1,0
markers,3,far,Colored pencils,0.5128,1,7,1,0
magnetic bar,3,near,Bar,0.6236,5,23,1,1
spray bottle,3,near,Bottle,0.7294,82,164,1,1
storage rack,3,near,Rack,0.7668,1,8,1,0
lunch jar,3,near,Jar,0.7233,11,53,1,1
laundry bags,3,near,Laundry basket,0.7501,6,35,1,1
ice cubes,3,near,Ice bucket,0.6491,2,10,1,0
disc,3,near,Cd player,0.6644,1,5,1,0
decanter set,3,near,Decanter,0.7974,3,9,1,1
decorating bag,3,near,Bag,0.6309,18,69,1,1
lifter,3,far,Shaker,0.5390,1,9,1,0
toilet tissue holder,3,near,Toilet paper holder,0.8835,17,32,1,1
chopping mats,3,near,Chopping board,0.6941,3,23,1,0
pourer,3,far,Shaker,0.4873,1,9,1,0
rocker,3,near,Rock,0.7412,1,4,1,0
hall tree,3,near,Tree,0.7326,1,6,1,0
ice mold,3,far,Ice bucket,0.5494,2,10,1,0
drying mat,3,near,Towel mat,0.6699,1,4,0,1
iced tea maker,3,near,Tea pot,0.6555,1,9,1,0
honey pot,3,near,Tea pot,0.6648,1,9,1,0
toilet bowl brush,3,near,Toilet,0.6113,214,145,1,1
beater blade,3,far,Knife,0.5504,33,97,1,0
teacup,3,near,Teacups,0.9085,2,10,1,1
double boiler,3,far,Stove,0.4607,413,277,1,1
drain cover,3,near,Drain,0.7028,4,6,1,1
drain protector,3,near,Drain,0.6677,4,6,1,1
roasting pan,3,near,Frying pan,0.6993,1,17,1,0
produce bag,3,near,Bag,0.6824,18,69,1,1
pizza screen,3,near,Screen,0.6159,13,35,1,1
clips,3,far,Frames,0.4824,12,43,1,1
pillowcases,3,near,Pillows,0.8072,73,111,1,1
chopsticks,3,near,Stir sticks,0.7203,1,11,1,0
popper,3,far,Pepper shaker,0.4354,3,26,1,0
plate rack,3,near,Dish rack,0.7835,52,124,1,1
plant stand,3,exact,Plant stand,1.0000,1,9,1,0
placemats,3,exact,Placemats,1.0000,2,10,1,0
workstation,3,near,Computer,0.6799,14,51,1,1
wine stopper,3,near,Wine,0.7002,2,16,1,0
whisk,2,far,Wicker basket,0.4444,1,8,1,0
whiskey stones,2,far,Stone wall,0.5868,5,24,1,0
art print,2,near,Artwork,0.8145,119,162,1,1
wardrobe,2,exact,Wardrobe,1.0000,25,51,1,1
warming tray,2,near,Tray,0.7256,24,91,1,1
bakeware set,2,near,Cookware,0.6630,17,65,1,1
bag sealer,2,near,Bag,0.6802,18,69,1,1
baguette pan,2,near,Pan,0.6299,84,144,1,1
dining chair,2,exact,Dining chair,1.0000,28,61,1,1
deodorizer,2,far,Decanter,0.4522,3,9,1,1
decorating bags,2,far,Decor,0.5658,19,71,1,0
maker,2,near,Coffee maker,0.6571,80,124,1,1
wrap,2,far,Cloth,0.5702,4,33,1,1
wine glass charms,2,near,Wine glass,0.7673,7,40,1,0
wine bottle holder,2,near,Wine bottle,0.8354,11,61,1,1
whip,2,far,Rope,0.5536,2,6,1,0
loft bed,2,exact,Loft bed,1.0000,2,17,1,0
lotion dispenser,2,near,Lotion bottle,0.7555,2,11,1,1
lotion pump,2,near,Lotion,0.7476,9,34,1,1
lazy susan,2,far,Floral chair,0.4746,1,10,1,0
lid lifter,2,far,Plastic lid,0.5705,1,5,0,1
lamp,2,exact,Lamp,1.0000,931,406,1,1
lasagna pan,2,near,Pan,0.6829,84,144,1,1
dinnerware set,2,near,Kitchenware,0.7522,20,47,0,1
cutting boards,2,near,Cutting board,0.9466,65,135,1,1
cushion cover,2,near,Cushion,0.8154,99,137,1,1
custard cups,2,near,Cups,0.7048,16,86,1,1
cupcake liners,2,far,Cups,0.5411,16,86,1,1
cupcake molds,2,far,Cups,0.5386,16,86,1,1
cupcake stand,2,near,Cake stand,0.7573,1,13,1,0
microwave cooker,2,near,Microwave,0.7824,240,232,1,1
loaf dish,2,near,Bread,0.7551,12,70,1,0
towel shelf,2,near,Towel rack,0.8513,16,40,1,1
towel stand,2,near,Towel holder,0.8220,15,29,1,1
towel grabber,2,near,Towel,0.8408,233,230,1,1
toothbrush sanitizer,2,near,Toothbrush,0.8012,6,27,1,1
tortilla pan,2,near,Pan,0.7236,84,144,1,1
treads,2,far,Treadmill,0.5725,2,13,1,0
tofu press,2,far,Coffee machine,0.3785,2,14,1,0
battery,2,far,Laptop,0.5190,13,49,1,1
washer,2,exact,Washer,1.0000,2,10,1,0
travel mug,2,near,Mug,0.8055,9,47,1,0
bar spoon,2,near,Spoon,0.7674,24,83,1,0
barometer,2,far,Bar counter,0.5700,3,17,1,0
baking stone,2,near,Stone wall,0.6289,5,24,1,0
bar,2,exact,Bar,1.0000,5,23,1,1
bar set,2,near,Bar,0.7729,5,23,1,1
wall decor,2,exact,Wall decor,1.0000,27,75,1,1
folding chair,2,near,Chair,0.7263,1046,532,1,1
valve,2,near,Shower valve,0.6678,1,2,1,0
vaporizer,2,far,Vacuum cleaner,0.5294,1,6,1,0
vacuum sealer bags,2,far,Vacuum cleaner,0.5050,1,6,1,0
vacuum sealer rolls,2,far,Roll toilet paper,0.5134,1,5,1,0
wax paper,2,near,Paper,0.7322,16,59,1,1
waste bin,2,exact,Waste bin,1.0000,2,17,1,0
washcloth,2,exact,Washcloth,1.0000,3,17,1,0
bake set,2,far,Oven,0.5757,207,207,1,1
wreath holder,2,near,Wreath,0.8951,12,38,1,1
wrap box,2,near,Decorative box,0.6868,10,47,1,1
apple corer,2,far,Apple,0.5937,6,32,1,0
air filter,2,far,Air conditioner,0.5809,32,56,1,1
air pot,2,near,Pot,0.7592,82,147,1,1
air purifying bags,2,far,Bag,0.4309,18,69,1,1
food grinder,2,near,Coffee grinder,0.8287,1,8,1,0
spice grinder,2,near,Coffee grinder,0.7918,1,8,1,0
spice jar,2,exact,Spice jar,1.0000,1,8,1,0
sofa bed,2,near,Sofa,0.8728,596,297,1,1
stickers,2,exact,Stickers,1.0000,1,6,1,0
steak knife set,2,near,Knives,0.6687,5,36,1,0
steak set,2,far,Chess set,0.5367,5,26,1,1
steam case,2,near,Display case,0.6097,1,7,1,0
squeeze bottles,2,near,Bottles,0.7355,26,91,1,1
bracket,2,far,Card,0.4332,3,8,1,1
bowl covers,2,near,Bowls,0.7420,19,80,1,1
box foundation,2,near,Boxes,0.6060,7,29,1,1
bottle tote,2,near,Bottle,0.6839,82,164,1,1
storage drawer,2,exact,Storage drawer,1.0000,2,8,1,0
storage jar,2,near,Storage container,0.7219,1,6,1,0
spice tower,2,near,Spice rack,0.6230,2,8,1,0
spiral slicer,2,far,Toaster,0.5308,20,61,1,1
food storage system,2,near,Food container,0.7047,1,9,1,0
food strainer,2,near,Strainer,0.8976,1,9,1,0
faucet cap,2,near,Faucet,0.7642,119,160,1,1
entertainment center,2,exact,Entertainment center,1.0000,6,17,1,1
emulsifier,2,far,Vacuum cleaner,0.4303,1,6,1,0
sprayer,2,far,Washer,0.5728,2,10,1,0
springform pan,2,far,Pan,0.5358,84,144,1,1
boxspring cover,2,far,Decorative box,0.5583,10,47,1,1
table covers,2,near,Tablecloth,0.6770,54,129,1,1
storage cart,2,exact,Storage cart,1.0000,2,12,1,1
stoppers,2,far,Slippers,0.5010,3,15,1,1
bottle set,2,near,Bottles,0.7839,26,91,1,1
bottle cap catcher,2,near,Bottles,0.6328,26,91,1,1
blender jar,2,near,Jar,0.7881,11,53,1,1
body pillow,2,near,Pillow,0.8640,218,202,1,1
freezer bowl,2,near,Bowl,0.7196,203,268,1,1
canvas art,2,near,Artwork,0.7355,119,162,1,1
can,2,far,Cans,0.5016,1,3,1,0
can tracker,2,far,Trash can,0.3794,63,122,1,1
cake pan strips,2,far,Pans,0.5684,4,29,1,0
case,2,near,Display case,0.6151,1,7,1,0
casserole pan,2,near,Pan,0.7444,84,144,1,1
carrier,2,far,Phone,0.4895,24,61,1,1
card covers,2,near,Cards,0.6696,2,6,1,1
shovel,2,far,Knife,0.5789,33,97,1,0
shower curtain hook,2,near,Shower curtain rod,0.8256,1,5,0,1
soda maker,2,near,Coffee maker,0.6498,80,124,1,1
sink rack,2,near,Sink,0.7430,801,403,1,1
shelving rack,2,near,Shelving,0.8785,3,13,1,1
shoe bag,2,near,Shoes,0.7632,7,34,1,1
shelf liners,2,near,Shelves,0.6742,23,88,1,1
shelf organizer,2,near,Shelf,0.7822,160,255,1,1
goblet,2,far,Sconce,0.3603,2,14,1,0
gaskets,2,far,Gas burner,0.5527,1,8,1,0
gaming chair,2,near,Chair,0.7579,1046,532,1,1
garment rack,2,near,Rack,0.7642,1,8,1,0
hook rack,2,near,Hanging rack,0.8369,1,8,1,0
hand mixer,2,near,Mixer,0.8607,5,30,1,0
handle,2,near,Basket with handle,0.6786,1,8,1,0
sink center,2,near,Sink,0.7551,801,403,1,1
sink skirt,2,near,Sink,0.6542,801,403,1,1
burner,2,near,Gas burner,0.8241,1,8,1,0
butter keeper,2,far,Pastry,0.4233,1,10,1,0
brushes,2,near,Toothbrush,0.7191,6,27,1,1
brewing system,2,near,Coffee maker,0.6182,80,124,1,1
grater disc,2,far,Cd player,0.4439,1,5,1,0
gravy boat,2,near,Boat,0.6694,1,9,1,0
griddle pan,2,near,Pan,0.7280,84,144,1,1
saucier pan,2,near,Pan,0.6932,84,144,1,1
sauce pot,2,near,Pot,0.7331,82,147,1,1
salad spinner,2,far,Pepper shaker,0.5522,3,26,1,0
rod,2,near,Fishing rod,0.7444,1,8,1,0
rings,2,far,Towel ring,0.5761,1,3,0,1
recycler,2,near,Recycling bin,0.6800,1,9,1,0
chopstick,2,near,Stir sticks,0.6914,1,11,1,0
popcorn maker,2,far,Corn,0.5966,1,16,1,0
serving tray,2,near,Tray,0.7749,24,91,1,1
set,2,near,Train set,0.6590,3,25,1,0
screen guard,2,near,Screen,0.6224,13,35,1,1
scrubber,2,far,Scrub brush,0.5987,1,4,1,0
clamps,2,far,Knife holder,0.4397,2,13,1,0
cheese knife set,2,near,Knives,0.6640,5,36,1,0
cheesecloth,2,near,Dishcloth,0.8349,1,8,1,0
chafing dish,2,near,Dish,0.7042,54,104,1,1
dust bags,2,near,Bag,0.6544,18,69,1,1
dryer,2,exact,Dryer,1.0000,2,13,1,0
drawer dividers,2,near,Drawer,0.6604,56,107,1,1
drawer liner,2,near,Drawer,0.7635,56,107,1,1
shears,2,far,Slippers,0.5153,3,15,1,1
sealer,2,far,Freezer,0.5331,1,11,1,0
seed sprouter,2,far,Vegetable,0.4425,2,22,1,0
server,2,far,Computer,0.4843,14,51,1,1
cards,2,exact,Cards,1.0000,2,6,1,1
capper,2,far,Shaker,0.5603,1,9,1,0
cappuccino cup,2,near,Cup,0.6611,103,191,1,1
caps,2,near,Hats,0.6153,1,7,1,0
shoe bench,2,near,Bench,0.7530,23,79,1,1
shoe shelf,2,near,Shoe rack,0.8108,1,6,1,0
gripper,2,far,Glove,0.5252,1,18,1,0
duffle bag,2,near,Bag,0.7520,18,69,1,1
pizza stone,2,near,Stone wall,0.6674,5,24,1,0
place cards,2,near,Cards,0.7770,2,6,1,1
piping bag,2,near,Bag,0.6814,18,69,1,1
pancake pan,2,near,Pan,0.8832,84,144,1,1
oven rack,2,near,Oven,0.7978,207,207,1,1
oxygen absorbers,2,far,Canisters,0.3518,2,8,1,1
coffee storage drawer,2,near,Storage drawer,0.7826,2,8,1,0
nut milk bag,2,near,Bag,0.6293,18,69,1,1
coating,2,far,Pan,0.5507,84,144,1,1
coaster,2,exact,Coaster,1.0000,1,10,1,0
coaster set,2,near,Coaster,0.8299,1,10,1,0
pot hooks,2,near,Pots,0.6591,19,72,1,1
pillow inserts,2,near,Pillows,0.7799,73,111,1,1
pen,2,exact,Pen,1.0000,4,22,1,0
phone stand,2,near,Stand,0.7243,3,16,1,0
picture frame,2,exact,Picture frame,1.0000,333,285,1,1
juice extractor,2,near,Orange juice,0.6534,3,23,1,0
jewelry organizer,2,far,Storage drawer,0.5238,2,8,1,0
ironing table,2,near,Ironing board,0.7499,1,8,1,0
pillow protectors,2,near,Pillows,0.7676,73,111,1,1
coffee caddy,2,near,Coffee maker,0.6712,80,124,1,1
coffee cup,2,near,Coffee cups,0.8983,1,9,1,0
coffee cups,2,exact,Coffee cups,1.0000,1,9,1,0
coffee drawer,2,near,Drawer,0.7458,56,107,1,1
poster frame,2,near,Poster,0.7806,12,40,1,0
popcorn,2,near,Corn,0.6792,1,16,1,0
popcorn boxes,2,near,Boxes,0.6772,7,29,1,1
plate holders,2,near,Plates,0.7930,90,175,1,1
recipe cards,2,near,Cookbook,0.6045,8,38,1,1
press,2,far,Console,0.4794,1,5,1,0
probe,2,far,Microscope,0.5218,1,6,1,0
produce bags,2,far,Bag,0.5979,18,69,1,1
measuring cups and spoons,2,near,Spoons,0.6522,1,8,1,0
mug holder,2,near,Cup holder,0.8386,1,6,1,0
muddler,2,far,Spoon,0.4731,24,83,1,0
mold set,2,far,Canister set,0.5451,1,8,1,0
mitt,2,far,Bidet,0.3862,18,33,1,1
magazine holder,2,near,Magazine,0.7744,37,90,1,1
luggage scale,2,near,Scale,0.6450,1,13,1,0
cutters,2,near,Cutting board,0.6097,65,135,1,1
knobs,2,near,Knob,0.8984,1,2,1,0
knock box,2,near,Box,0.6974,30,95,1,1
cup and saucer,2,near,Saucer,0.7522,4,19,1,0
covers,2,near,Bed cover,0.6651,1,8,1,0
oven gloves,2,near,Glove,0.6465,1,18,1,0
oven guard,2,near,Oven,0.7173,207,207,1,1
organizer set,2,far,Drawers,0.5472,5,23,1,1
measuring cup and spoon set,2,near,Spoons,0.6403,1,8,1,0
pastry bags,2,near,Pastry,0.7407,1,10,1,0
infuser,2,far,Strainer,0.4998,1,9,1,0
iron,2,near,Ironing board,0.6845,1,8,1,0
ironing board,2,exact,Ironing board,1.0000,1,8,1,0
dish set,2,near,Dish,0.8354,54,104,1,1
dish towels,2,near,Dish towel,0.9312,4,21,1,0
dish tub,2,near,Dish,0.7487,54,104,1,1
disc set,2,far,Cd player,0.5416,1,5,1,0
oil,2,near,Cooking oil,0.6897,1,11,1,0
napkin holder,2,near,Napkin,0.8595,17,65,1,0
night table,2,near,Dining table,0.7000,109,151,1,1
cookware stand,2,near,Cookware,0.7561,17,65,1,1
cookie press,2,near,Cookies,0.7157,1,9,1,0
cookbook,2,exact,Cookbook,1.0000,8,38,1,1
console table,2,exact,Console table,1.0000,6,24,1,0
cook book holder,2,near,Cookbook,0.7667,8,38,1,1
toaster cover,2,near,Toaster,0.7531,20,61,1,1
tissue,2,exact,Tissue,1.0000,1,8,0,1
sushi mat,2,near,Mat,0.6364,3,14,1,1
storage tote,2,near,Storage container,0.6869,1,6,1,0
tea bags,2,near,Teacups,0.6951,2,10,1,1
tags,2,far,Cards,0.4234,2,6,1,1
table cover,2,near,Tablecloth,0.6791,54,129,1,1
table covering,2,near,Table,0.6766,840,522,1,1
toilet paper,2,exact,Toilet paper,1.0000,17,38,1,1
toilet seat,2,near,Toilet,0.8224,214,145,1,1
table pad,2,near,Table cloth,0.6575,1,9,1,0
biscotti pan,2,near,Pan,0.6837,84,144,1,1
bento,2,far,Bidet,0.3604,18,33,1,1
bedding sheet set,2,near,Bedding,0.6448,109,106,1,1
beer equipment kit,2,far,Kitchen equipment,0.5619,1,5,0,1
tissue pod,2,near,Tissue,0.7486,1,8,0,1
filter bags,2,near,Bag,0.6092,18,69,1,1
filter cartridge,2,far,Printer,0.3891,3,22,1,0
filter cone,2,far,Mask,0.3384,2,9,1,1
filler,2,far,Washer,0.4848,2,10,1,0
thermos,2,far,Heater,0.4981,2,6,1,1
teacups,2,exact,Teacups,1.0000,2,10,1,1
tooth brush holder,2,near,Toothbrush holder,0.9455,5,22,1,1
toilet wand,2,near,Toilet,0.7297,214,145,1,1
battery storage box,2,near,Storage box,0.7479,12,52,1,0
beaker,2,far,Glass jug,0.5951,2,16,1,1
bathroom set,2,near,Bathroom,0.6918,1,5,1,0
bathtub,2,exact,Bathtub,1.0000,131,125,1,1
batter bowl,2,near,Bowl,0.7598,203,268,1,1
towel valet,2,near,Towel,0.7303,233,230,1,1
floor mat,2,exact,Floor mat,1.0000,7,38,1,0
floor brush,2,near,Scrub brush,0.6853,1,4,1,0
bag clip,2,near,Bag,0.7211,18,69,1,1
wine tote,2,near,Wine,0.7046,2,16,1,0
wrench,2,far,Knife,0.5344,33,97,1,0
wine thief,1,near,Wine,0.6708,2,16,1,0
wire,1,near,Cable,0.6539,2,11,1,1
accessory kit,1,far,Bathroom accessories,0.5493,2,8,0,1
wood conditioner,1,near,Conditioner,0.7348,7,21,1,1
work station,1,far,Desk,0.5746,122,145,1,1
work table,1,near,Table,0.7318,840,522,1,1
accessory,1,far,Bathroom accessories,0.5843,2,8,0,1
bacon rack,1,near,Rack,0.7691,1,8,1,0
badge bar,1,near,Bar,0.6600,5,23,1,1
bag cap,1,near,Bag,0.7893,18,69,1,1
bag dispenser,1,near,Water dispenser,0.7136,1,8,1,0
wine saver,1,near,Wine,0.6414,2,16,1,0
adapter kit,1,far,Electrical outlet,0.3716,2,7,1,0
wine storage,1,near,Wine bottles,0.7102,3,20,1,0
bakery box,1,near,Box,0.6289,30,95,1,1
bakeware rack,1,near,Dish rack,0.6862,52,124,1,1
bag inserts,1,near,Bag,0.6530,18,69,1,1
bag opener,1,near,Bag,0.6509,18,69,1,1
wall system,1,near,Wall,0.7076,7,39,1,0
wash bag set,1,far,Washcloths,0.5923,1,7,1,0
baking liners,1,far,Ovens,0.4483,1,10,1,0
baking pan set,1,near,Pans,0.6780,4,29,1,0
baking paper,1,near,Paper,0.6420,16,59,1,1
baking papers,1,far,Papers,0.5785,1,4,0,1
art prints,1,near,Artwork,0.7813,119,162,1,1
artwork,1,exact,Artwork,1.0000,119,162,1,1
ash tray,1,near,Tray,0.6905,24,91,1,1
audio tower,1,near,Audio equipment,0.6432,1,4,1,0
backpack,1,exact,Backpack,1.0000,3,15,1,1
airpot,1,far,Cookpot,0.5993,1,12,1,0
alarm,1,near,Alarm clock,0.8504,11,18,1,1
whisky chilling rocks,1,far,Rock,0.4923,1,4,1,0
whisky rocks,1,near,Rock,0.6149,1,4,1,0
whisky stones,1,far,Stone wall,0.5524,5,24,1,0
wicks,1,far,Wicker basket,0.4530,1,8,1,0
art,1,exact,Art,1.0000,12,47,1,0
window cling,1,near,Window curtain,0.6195,2,14,1,0
window clings,1,far,Window,0.5637,495,349,1,1
window film,1,near,Window,0.6883,495,349,1,1
wine bar,1,near,Wine rack,0.8003,16,65,1,1
wine bottle stopper,1,near,Wine bottle,0.7694,11,61,1,1
weights,1,far,Scale,0.4949,1,13,1,0
wine opener set,1,far,Wine bottles,0.5959,3,20,1,0
wine pump,1,near,Wine bottle,0.7009,11,61,1,1
wine bottle stoppers,1,near,Wine bottles,0.7667,3,20,1,0
wine box,1,near,Wine bottle,0.8012,11,61,1,1
wine cart,1,near,Cart,0.7460,3,21,1,1
wine cellar,1,near,Wine,0.7376,2,16,1,0
wine charms,1,near,Wine glasses,0.6772,1,9,0,1
mattress lifter,1,near,Mattress,0.6192,4,13,1,1
magnets,1,far,Vases,0.4780,6,31,1,1
mason jar,1,near,Jar,0.7644,11,53,1,1
lunch pot,1,near,Pot,0.7360,82,147,1,1
lunch set,1,near,Tea set,0.6252,8,32,1,1
lunchbox,1,far,Food container,0.5657,1,9,1,0
magazine file holder,1,near,Magazines,0.6539,14,44,1,1
descaling liquid,1,far,Scale,0.4044,1,13,1,0
desk and chair set,1,near,Desk,0.7303,122,145,1,1
damper,1,far,Dryer,0.5919,2,13,1,0
decalcifier,1,near,Decanter,0.7134,3,9,1,1
decorating tube set,1,far,Decorative objects,0.4372,5,23,1,0
mattress bags,1,near,Mattress,0.6187,4,13,1,1
dessert maker,1,far,Pastry,0.5825,1,10,1,0
detergent,1,exact,Detergent,1.0000,1,8,1,0
dicer,1,far,Saucer,0.4691,4,19,1,0
dimmer,1,far,Lamps,0.4634,16,46,1,0
dinette set,1,far,Tea set,0.5822,8,32,1,1
degasser,1,far,Gas burner,0.4540,1,8,1,0
dehydrator screen,1,far,Screen,0.5271,13,35,1,1
lid rest,1,near,Plastic lid,0.6420,1,5,0,1
lamp bulb,1,near,Lamp,0.8816,931,406,1,1
dining table set,1,near,Dining table,0.8971,109,151,1,1
dinner plate,1,near,Plate,0.8223,156,215,1,1
dipper,1,far,Shaker,0.5164,1,9,1,0
light bulb changer,1,far,Light switch,0.5885,2,10,1,0
lighter,1,near,Light,0.6514,39,72,1,1
lights,1,exact,Lights,1.0000,2,9,1,1
liner pad,1,far,Floor cushion,0.5413,1,7,1,0
laundry wash bag,1,near,Laundry basket,0.7349,6,35,1,1
lenscup,1,near,Glasses,0.6063,42,127,1,1
lingerie bag,1,near,Bag,0.6810,18,69,1,1
lotion applicator wand set,1,far,Lotion bottle,0.5511,2,11,1,1
lifts,1,far,Stairs,0.4650,18,52,1,0
light bulb,1,near,Lamp,0.7835,931,406,1,1
kitchen tool,1,near,Kitchen equipment,0.7610,1,5,0,1
kitchen tools,1,near,Kitchen equipment,0.7933,1,5,0,1
knife blade protector,1,near,Knife block,0.6919,6,26,1,0
keeper set,1,far,Chess set,0.5811,5,26,1,1
keepsake box,1,far,Decorative box,0.5426,10,47,1,1
key rack,1,near,Rack,0.7536,1,8,1,0
kitchen center,1,near,Kitchen,0.7857,1,10,1,0
liners,1,far,Carriage,0.5659,1,5,1,0
knife block set,1,near,Knife block,0.8465,6,26,1,0
knife holder,1,exact,Knife holder,1.0000,2,13,1,0
knife organizer,1,near,Knife holder,0.7934,2,13,1,0
knife rack,1,exact,Knife rack,1.0000,1,9,1,0
knife storage block,1,near,Knife block,0.8147,6,26,1,0
knife storage strip,1,near,Knife holder,0.7018,2,13,1,0
knife tray,1,near,Knife holder,0.7706,2,13,1,0
kitchen mat,1,near,Floor mat,0.7750,7,38,1,0
cupcake plunger,1,near,Plunger,0.7546,3,6,1,1
microwave concentrators,1,near,Microwave,0.6055,240,232,1,1
