amazon_label,n_items,assigned_node,cosine
pizza stone,2,Stone wall,0.6674
place cards,2,Cards,0.7770
piping bag,2,Bag,0.6814
pancake pan,2,Pan,0.8832
oven rack,2,Oven,0.7978
oxygen absorbers,2,Canisters,0.3518
coffee storage drawer,2,Storage drawer,0.7826
nut milk bag,2,Bag,0.6293
coating,2,Pan,0.5507
coaster,2,Coaster,1.0000
coaster set,2,Coaster,0.8299
pot hooks,2,Pots,0.6591
pillow inserts,2,Pillows,0.7799
pen,2,Pen,1.0000
phone stand,2,Stand,0.7243
picture frame,2,Picture frame,1.0000
juice extractor,2,Orange juice,0.6534
jewelry organizer,2,Storage drawer,0.5238
ironing table,2,Ironing board,0.7499
pillow protectors,2,Pillows,0.7676
coffee caddy,2,Coffee maker,0.6712
coffee cup,2,Coffee cups,0.8983
coffee cups,2,Coffee cups,1.0000
coffee drawer,2,Drawer,0.7458
poster frame,2,Poster,0.7806
popcorn,2,Corn,0.6792
popcorn boxes,2,Boxes,0.6772
plate holders,2,Plates,0.7930
recipe cards,2,Cookbook,0.6045
press,2,Console,0.4794
probe,2,Microscope,0.5218
produce bags,2,Bag,0.5979
measuring cups and spoons,2,Spoons,0.6522
mug holder,2,Cup holder,0.8386
muddler,2,Spoon,0.4731
mold set,2,Canister set,0.5451
mitt,2,Bidet,0.3862
magazine holder,2,Magazine,0.7744
luggage scale,2,Scale,0.6450
cutters,2,Cutting board,0.6097
knobs,2,Knob,0.8984
knock box,2,Box,0.6974
cup and saucer,2,Saucer,0.7522
covers,2,Bed cover,0.6651
oven gloves,2,Glove,0.6465
oven guard,2,Oven,0.7173
organizer set,2,Drawers,0.5472
measuring cup and spoon set,2,Spoons,0.6403
pastry bags,2,Pastry,0.7407
infuser,2,Strainer,0.4998
iron,2,Ironing board,0.6845
ironing board,2,Ironing board,1.0000
dish set,2,Dish,0.8354
dish towels,2,Dish towel,0.9312
dish tub,2,Dish,0.7487
disc set,2,Cd player,0.5416
oil,2,Cooking oil,0.6897
napkin holder,2,Napkin,0.8595
night table,2,Dining table,0.7000
cookware stand,2,Cookware,0.7561
cookie press,2,Cookies,0.7157
cookbook,2,Cookbook,1.0000
console table,2,Console table,1.0000
cook book holder,2,Cookbook,0.7667
toaster cover,2,Toaster,0.7531
tissue,2,Tissue,1.0000
sushi mat,2,Mat,0.6364
storage tote,2,Storage container,0.6869
tea bags,2,Teacups,0.6951
tags,2,Cards,0.4234
table cover,2,Tablecloth,0.6791
table covering,2,Table,0.6766
toilet paper,2,Toilet paper,1.0000
toilet seat,2,Toilet,0.8224
table pad,2,Table cloth,0.6575
biscotti pan,2,Pan,0.6837
bento,2,Bidet,0.3604
bedding sheet set,2,Bedding,0.6448
beer equipment kit,2,Kitchen equipment,0.5619
tissue pod,2,Tissue,0.7486
filter bags,2,Bag,0.6092
filter cartridge,2,Printer,0.3891
filter cone,2,Mask,0.3384
filler,2,Washer,0.4848
thermos,2,Heater,0.4981
teacups,2,Teacups,1.0000
tooth brush holder,2,Toothbrush holder,0.9455
toilet wand,2,Toilet,0.7297
battery storage box,2,Storage box,0.7479
beaker,2,Glass jug,0.5951
bathroom set,2,Bathroom,0.6918
bathtub,2,Bathtub,1.0000
batter bowl,2,Bowl,0.7598
towel valet,2,Towel,0.7303
floor mat,2,Floor mat,1.0000
floor brush,2,Scrub brush,0.6853
bag clip,2,Bag,0.7211
wine tote,2,Wine,0.7046
wrench,2,Knife,0.5344
wine thief,1,Wine,0.6708
wire,1,Cable,0.6539
accessory kit,1,Bathroom accessories,0.5493
wood conditioner,1,Conditioner,0.7348
work station,1,Desk,0.5746
work table,1,Table,0.7318
accessory,1,Bathroom accessories,0.5843
bacon rack,1,Rack,0.7691
badge bar,1,Bar,0.6600
bag cap,1,Bag,0.7893
bag dispenser,1,Water dispenser,0.7136
wine saver,1,Wine,0.6414
adapter kit,1,Electrical outlet,0.3716
wine storage,1,Wine bottles,0.7102
bakery box,1,Box,0.6289
bakeware rack,1,Dish rack,0.6862
bag inserts,1,Bag,0.6530
bag opener,1,Bag,0.6509
wall system,1,Wall,0.7076
wash bag set,1,Washcloths,0.5923
baking liners,1,Ovens,0.4483
baking pan set,1,Pans,0.6780
baking paper,1,Paper,0.6420
baking papers,1,Papers,0.5785
art prints,1,Artwork,0.7813
artwork,1,Artwork,1.0000
ash tray,1,Tray,0.6905
audio tower,1,Audio equipment,0.6432
backpack,1,Backpack,1.0000
airpot,1,Cookpot,0.5993
alarm,1,Alarm clock,0.8504
whisky chilling rocks,1,Rock,0.4923
whisky rocks,1,Rock,0.6149
whisky stones,1,Stone wall,0.5524
wicks,1,Wicker basket,0.4530
art,1,Art,1.0000
window cling,1,Window curtain,0.6195
window clings,1,Window,0.5637
window film,1,Window,0.6883
wine bar,1,Wine rack,0.8003
wine bottle stopper,1,Wine bottle,0.7694
weights,1,Scale,0.4949
wine opener set,1,Wine bottles,0.5959
wine pump,1,Wine bottle,0.7009
wine bottle stoppers,1,Wine bottles,0.7667
wine box,1,Wine bottle,0.8012
wine cart,1,Cart,0.7460
wine cellar,1,Wine,0.7376
wine charms,1,Wine glasses,0.6772
mattress lifter,1,Mattress,0.6192
magnets,1,Vases,0.4780
mason jar,1,Jar,0.7644
lunch pot,1,Pot,0.7360
lunch set,1,Tea set,0.6252
lunchbox,1,Food container,0.5657
magazine file holder,1,Magazines,0.6539
descaling liquid,1,Scale,0.4044
desk and chair set,1,Desk,0.7303
damper,1,Dryer,0.5919
decalcifier,1,Decanter,0.7134
decorating tube set,1,Decorative objects,0.4372
mattress bags,1,Mattress,0.6187
dessert maker,1,Pastry,0.5825
detergent,1,Detergent,1.0000
dicer,1,Saucer,0.4691
dimmer,1,Lamps,0.4634
dinette set,1,Tea set,0.5822
degasser,1,Gas burner,0.4540
dehydrator screen,1,Screen,0.5271
lid rest,1,Plastic lid,0.6420
lamp bulb,1,Lamp,0.8816
dining table set,1,Dining table,0.8971
dinner plate,1,Plate,0.8223
dipper,1,Shaker,0.5164
light bulb changer,1,Light switch,0.5885
lighter,1,Light,0.6514
lights,1,Lights,1.0000
liner pad,1,Floor cushion,0.5413
laundry wash bag,1,Laundry basket,0.7349
lenscup,1,Glasses,0.6063
lingerie bag,1,Bag,0.6810
lotion applicator wand set,1,Lotion bottle,0.5511
lifts,1,Stairs,0.4650
light bulb,1,Lamp,0.7835
kitchen tool,1,Kitchen equipment,0.7610
kitchen tools,1,Kitchen equipment,0.7933
knife blade protector,1,Knife block,0.6919
keeper set,1,Chess set,0.5811
keepsake box,1,Decorative box,0.5426
key rack,1,Rack,0.7536
kitchen center,1,Kitchen,0.7857
liners,1,Carriage,0.5659
knife block set,1,Knife block,0.8465
knife holder,1,Knife holder,1.0000
knife organizer,1,Knife holder,0.7934
knife rack,1,Knife rack,1.0000
knife storage block,1,Knife block,0.8147
knife storage strip,1,Knife holder,0.7018
knife tray,1,Knife holder,0.7706
kitchen mat,1,Floor mat,0.7750
cupcake plunger,1,Plunger,0.7546
microwave concentrators,1,Microwave,0.6055
microwave cooking set,1,Microwave,0.7472
mirror tray,1,Mirror,0.6509
meat injector,1,Toy cow,0.3885
cutter and stamp kit,1,Cutting board,0.5417
curtain rods,1,Shower curtain rod,0.8435
curtains,1,Curtains,1.0000
cushion support,1,Cushion,0.8581
cupcake boxes,1,Boxes,0.7134
cutting board set,1,Cutting board,0.8339
cutting mats,1,Floor mat,0.6396
cylinder set,1,Canister set,0.5691
cut mat,1,Mat,0.7368
cutlery caddy,1,Cutlery,0.7285
cutlery holder,1,Cutlery holder,1.0000
magazine stand,1,Magazine,0.7354
lounge,1,Chaise lounge,0.8347
lounger,1,Chaise lounge,0.6890
luggage identifier,1,Luggage,0.6637
lunch container,1,Food container,0.8311
cutter set,1,Cutting board,0.6106
mister,1,Toilet,0.3614
mixer bowl,1,Mixer,0.8478
mixer bowl covers,1,Bowls,0.5939
mixer grinder,1,Coffee grinder,0.7873
mixer lift,1,Mixer,0.6605
crumber,1,Crib,0.5617
monitor,1,Monitor,1.0000
mopping cloths,1,Cloth,0.6906
mount,1,Wall mount,0.7705
mixing cups,1,Cups,0.7106
mixing glass,1,Glass containers,0.6512
molcajete,1,Barstool,0.4493
mold pan,1,Pan,0.7131
mattress platform,1,Mattress,0.7532
meal box,1,Food container,0.6965
measure cup,1,Cup,0.7326
measuring beaker,1,Microscope,0.4715
muffin tin,1,Pan,0.4548
multi pot,1,Pot,0.7622
molds,1,Breads,0.5182
melting pot,1,Pot,0.6250
menu holders,1,Menu,0.7094
messenger bag,1,Bag,0.6928
measuring glass,1,Glass,0.6623
measuring jar,1,Jar,0.6814
measuring pan,1,Pan,0.6719
oven mesh,1,Oven,0.7234
omelet maker,1,Toy kitchen,0.4237
omelet pan,1,Pan,0.7398
organizer box,1,Boxes,0.6395
organizer rack,1,Rack,0.7563
corks,1,Wine bottles,0.5789
cosmetic bag,1,Bag,0.6732
cotton candy,1,Sugar packets,0.5320
counter cover,1,Countertop,0.6900
counter mat,1,Mat,0.7650
counter protector,1,Metallic counter,0.6224
counter set,1,Counter,0.8222
oven glove,1,Glove,0.7602
crock pot liners,1,Crockery,0.6160
counter space,1,Counter,0.6802
counter stool,1,Stool,0.8036
coupler,1,Saucer,0.4949
coupling,1,Mixer,0.3350
cozy,1,Duvet,0.5941
creamer,1,Saucer,0.5692
cup cake maker,1,Cup,0.6543
cup dispenser,1,Water dispenser,0.7663
cup hooks,1,Cup holder,0.6777
cup set,1,Cup,0.7956
creamer and sugar bowl set,1,Sugar bowl,0.6477
creamer and sugar set,1,Sugar packets,0.6190
crepe pan,1,Pan,0.6781
dish brush,1,Dish soap,0.7362
dish cloth set,1,Dishcloth,0.7724
dish drying mat,1,Dish towel,0.5940
knives set,1,Knives,0.8053
koozie,1,Sconce,0.4483
label kit,1,Plastic container,0.4432
dishwasher,1,Dishwasher,1.0000
dishwasher attachment,1,Dishwasher,0.7596
dish soap,1,Dish soap,1.0000
dishcloth,1,Dishcloth,1.0000
divider set,1,Block set,0.4445
dividers,1,Platter,0.4299
divot tool,1,Column,0.3266
doilies,1,Cup,0.4058
doormat,1,Door,0.7282
dishcloth set,1,Dishcloth,0.8744
dishes,1,Dish,0.7681
dishtowel,1,Dishrack,0.6257
insect powder,1,Mosquito net,0.5112
inserts,1,Boxes,0.4053
iron rest,1,Ironing board,0.6145
ironing board cover,1,Ironing board,0.8161
ironing board holder,1,Ironing board,0.8315
container set,1,Container,0.7936
party picks,1,Posters,0.3729
pasta boat,1,Boat,0.7312
pasta cooker,1,Cooker,0.7859
pasta cooker set,1,Cookware,0.6123
pasta maker,1,Kitchen,0.5708
cookware pot,1,Cookware,0.8406
cookware rack,1,Cookware,0.8000
cook set,1,Cookware,0.7288
connector,1,Cable,0.5962
console,1,Console,1.0000
multicooker,1,Stereo,0.3737
necklace,1,Beads,0.6653
cork holder,1,Candle holder,0.6415
cork puller,1,Hanger,0.4566
cookie pan set,1,Cookies,0.6455
organizer tray,1,Tray,0.7737
nut milk bags,1,Bag,0.5408
odor remover bar,1,Bar of soap,0.4664
oil bottles,1,Bottles,0.7471
oil burner,1,Gas burner,0.7801
oil pot,1,Pot,0.7595
coffee pod dispenser,1,Water dispenser,0.6818
coffee pod drawer,1,Drawer,0.6996
coffee pod storage drawer,1,Storage drawer,0.7802
coffee roaster,1,Coffee maker,0.7966
coffee siphon,1,Coffee machine,0.6762
coffee filter set,1,Coffee maker,0.6057
coffee holder,1,Cup holder,0.8045
coffee machine,1,Coffee machine,1.0000
compost bin,1,Recycling bin,0.7126
composter,1,Planter,0.5015
composting bags,1,Bag,0.5102
computer station,1,Computer,0.6115
coffee system,1,Coffee machine,0.8095
coffee table set,1,Coffee table,0.8515
coin bank,1,Cart,0.4311
panini maker,1,Pan,0.6677
oven pull,1,Oven,0.7343
oven rack guards,1,Ovens,0.6396
oven shelf guard,1,Ovens,0.5838
ozone plate,1,White plate,0.5774
collar,1,Stuffed dog,0.4792
pantry system,1,Pantry,0.8570
parchment,1,Pastry,0.5342
party bar,1,Bar,0.7865
pan holder,1,Pan,0.7624
pan lid,1,Pan,0.7633
pan liner,1,Pan,0.7454
pan tree,1,Pan,0.7279
place card holders,1,Cards,0.6567
place mat,1,Mat,0.8196
piping nozzles,1,Shower valve,0.3602
pizza crisper,1,Toaster,0.5267
pizza peel,1,Pie,0.4970
pizza set,1,Kitchen play set,0.5843
peel,1,Knife,0.4473
placemat set,1,Placemats,0.8007
plastic wrap,1,Plastic bag,0.6885
plate case,1,Plate,0.7723
plate holder,1,Plate,0.8050
pizza wheel,1,Bicycle,0.4975
place card holder,1,Paper holder,0.6571
photo display,1,Photo frame,0.7111
pie baker,1,Pie,0.7741
pie crust,1,Pie,0.8176
pastry board,1,Pastry,0.8138
pastry frame,1,Pastry,0.7985
patio heater,1,Heater,0.7168
coffee pack drawer,1,Drawer,0.6751
pillow encasing,1,Pillow,0.8405
pillow mat,1,Pillow,0.7862
pie server,1,Pie,0.6778
pie set,1,Pie,0.7605
peppermill,1,Pepper,0.7429
clip strips,1,Striped cloth,0.5062
clock timer,1,Clock,0.7998
pot clip,1,Pot,0.6811
pot handle holder,1,Utensil holder,0.6815
pot handle sleeve,1,Decorative pot,0.5652
pot handle sleeves,1,Decorative pot,0.5823
pot hook,1,Pot,0.7301
cloth holder,1,Towel holder,0.7504
clothes bar,1,Bar,0.7635
cloths,1,Cloth,0.9215
coat hook,1,Coat rack,0.6437
cleaning cups,1,Cups,0.7022
cleaning kit,1,Cleaning supplies,0.7480
coffee dripper,1,Coffee machine,0.7330
coffee filter basket,1,Coffee maker,0.6617
coat tree,1,Tree,0.6629
cocktail shaker,1,Shaker,0.7483
cocktail shaker set,1,Tea set,0.5857
cocotte,1,Figurine,0.5081
coffee baskets,1,Baskets,0.7186
pillow pet,1,Pillow,0.7998
pins,1,Shoes,0.5173
coffee decanter,1,Decanter,0.7098
jigger,1,Comb,0.3988
ironing mat,1,Ironing board,0.7345
ironing table holder,1,Ironing board,0.6384
jar grip,1,Jar,0.7208
jar grippers,1,Jars,0.6844
jar grips,1,Jar,0.6882
jar lifter,1,Jar,0.7322
juicer blender,1,Juice jug,0.6232
k cup drawer,1,Drawer,0.7096
k cup filter,1,Cup,0.4925
keeper,1,Knife,0.5037
jar sealer,1,Jar,0.7396
jar strainer,1,Strainer,0.8393
jello shot cups,1,Cups,0.6438
ice blanket,1,Blanket,0.8081
ice cream sticks,1,Decorative sticks,0.6253
ice maker,1,Ice bucket,0.6733
hot chocolate maker,1,Coffee maker,0.5731
hot pack,1,Backpack,0.5489
hot pot set,1,Pots,0.7189
juice jar,1,Jar,0.8077
induction cooktop,1,Cooktop,0.7214
induction range,1,Range,0.4695
inflator,1,Balloon,0.4917
ice molds,1,Ice bucket,0.5427
ice pack,1,Ice bucket,0.6304
ice popsicle maker molds,1,Ice bucket,0.4157
ice stirrers,1,Stir sticks,0.6217
ice tea maker,1,Tea pot,0.6733
quilt rack,1,Rack,0.7716
produce protector,1,Makeup products,0.3976
pub set,1,Tea set,0.6178
pots,1,Pots,1.0000
pouch,1,Bag,0.6643
pod holster,1,Shoe,0.4451
rasp,1,Mat,0.4995
re sealer,1,Freezer,0.3728
recipe card dividers,1,Cookbook,0.4388
recliner cable,1,Recliner,0.7581
punch bowl,1,Bowl,0.8024
punch bowl set,1,Bowls,0.6579
popcorn cart,1,Cart,0.6949
popcorn containers,1,Containers,0.7025
popcorn machine,1,Corn,0.5803
plate separators,1,Plates,0.6850
plate set,1,Plates,0.8266
plate stand,1,Plate,0.7569
popsicle maker,1,Pepper shaker,0.5122
popsicle mold,1,Vases,0.4623
pod maker,1,Coffee maker,0.5765
poly bags,1,Plastic bag,0.6816
popcorn bags,1,Bag,0.6072
recycling container,1,Recycling bin,0.7912
remote control,1,Remote control,1.0000
repair kit,1,Cleaning supplies,0.3629
chopping mat and knife set,1,Chopping knife,0.6505
chopping tray,1,Chopping board,0.7284
citric acid,1,Olive oil,0.4337
rice steamer,1,Rice cooker,0.7702
ricer,1,Rice cooker,0.6654
ring,1,Towel ring,0.6081
rinse aid,1,Detergent,0.5596
recliner cover,1,Recliner,0.7597
recliner handle,1,Recliner,0.7593
recycle bags,1,Recycling bin,0.6286
roti pan,1,Pan,0.7718
rinser,1,Washer,0.7046
riser,1,Shaker,0.5406
risers,1,Slippers,0.4922
roast pan,1,Pan,0.7638
robe,1,Clothes,0.5996
repair tabs,1,Tray,0.2971
restorer,1,Backsplash,0.4298
pouches,1,Bag,0.5968
pourers,1,Cups,0.4997
power cord,1,Electrical outlet,0.5660
power stake,1,Lanterns,0.4103
robe hook,1,Hanging clothes,0.5413
rolling pin cover,1,Roll of toilet paper,0.4724
rolls,1,Roll toilet paper,0.6588
scale remover,1,Scale,0.5642
scoop set,1,Tea set,0.5781
sandwich press,1,Toaster,0.4976
sanitizer,1,Cleaner,0.5798
sauce boat,1,Boat,0.7284
sauce pan set,1,Pans,0.6901
cereal dispenser,1,Water dispenser,0.6698
chain,1,Gate,0.4719
chair mat,1,Floor mat,0.7969
chairpad,1,Wooden chair,0.6500
chalkboard,1,Chalkboard,1.0000
saw frame,1,Frame,0.7373
champagne flute,1,Wine glass,0.5603
charms,1,Beads,0.5473
cheese board,1,Cheese,0.7364
cheese cloth,1,Cloth,0.7610
cheese dome,1,Cheese,0.6168
cheese tray,1,Tray,0.7672
clamp,1,Knife holder,0.4803
chenille stems,1,Decorative plant,0.4594
chilling stones,1,Stone wall,0.5856
chip maker,1,Coffee maker,0.4717
chopping board,1,Chopping board,1.0000
chopping boards,1,Chopping board,0.9528
chopping mat,1,Chopping board,0.7362
serveware,1,Dishware,0.6112
scraper set,1,Tool set,0.5361
screen divider,1,Screen,0.6014
scrub cloths,1,Washcloths,0.7827
shelf clips,1,Shelves,0.6822
shaker bottle,1,Shaker,0.7793
shaker glass set,1,Glass containers,0.6548
shear,1,Strainer,0.4790
sealing ring,1,Towel ring,0.4765
runner,1,Race track,0.6330
s hook,1,Wall hooks,0.4998
salad bowl,1,Bowl,0.8382
salad chopper,1,Fruit bowl,0.5637
salad set,1,Tea set,0.6142
sheet grippers,1,Slippers,0.5923
sheet pans,1,Pans,0.8157
salt and pepper set,1,Salt,0.6192
salt cellar,1,Salt,0.6843
salt dip,1,Salt,0.7560
salt mill,1,Salt,0.7030
sand bags,1,Bag,0.6441
sandwich box,1,Boxes,0.6568
rotisserie,1,Cooktop,0.5784
rug set,1,Rugs,0.8483
drain board,1,Drain,0.7703
drain cleaner,1,Drain,0.7766
drain protectors,1,Drain,0.6311
drain stop,1,Drain,0.7955
icing bag,1,Bag,0.6009
icing bag ties,1,Bag,0.4452
icing bottles,1,Bottles,0.5865
icing mix,1,Mixer,0.4657
drying system,1,Dryer,0.7039
drying tree,1,Tree,0.5825
draining mat,1,Drain,0.6001
drawer insert,1,Drawer,0.8086
drain,1,Drain,1.0000
dust,1,Cleaner,0.5166
dust ruffle,1,Rug,0.4374
dustbags,1,Bag,0.6539
duvet cover,1,Duvet,0.8597
drinking glasses,1,Drinking glass,0.8718
drinking jar,1,Glass jar,0.7928
drip pot,1,Pot,0.7875
grill set,1,Chess set,0.5613
grille pan,1,Pan,0.7232
grilling bags,1,Bag,0.5750
grinder attachment,1,Coffee grinder,0.6547
grocery bag,1,Bag,0.7568
guard,1,Banister,0.4471
shopping bags,1,Bag,0.7062
shopping cart liner,1,Shopping cart,0.7173
shot glass maker,1,Glass,0.6753
shot glass mold,1,Glass,0.5781
shot glass set,1,Glass,0.6272
carpet,1,Carpet,1.0000
cap set,1,Tea set,0.5479
cap washer,1,Washer,0.8060
cappuccino cups,1,Coffee cups,0.7072
cappuccino maker,1,Coffee maker,0.5791
cart liner,1,Cart,0.6916
cartridges,1,Printer,0.6761
carving fork,1,Fork,0.7808
carafe set,1,Coffee mugs,0.5812
card,1,Card,1.0000
card holder,1,Card,0.7585
seal,1,Mask,0.5418
casserole set,1,Cookware,0.5605
caster kit,1,Planter,0.4494
casters,1,Chairs,0.4826
cd boxes,1,Cd player,0.6597
carpet extractor,1,Carpet,0.7300
candelabra,1,Candelabra,1.0000
candle,1,Candle,1.0000
cake maker,1,Cake,0.7773
cake mold,1,Cake,0.6735
cake pans,1,Pans,0.8423
cake plate,1,Plate,0.7805
cake stand,1,Cake stand,1.0000
candy dish,1,Dish,0.6762
canister bags,1,Canisters,0.7906
canner rack,1,Rack,0.7455
cake tins,1,Cake,0.6751
can cover,1,Cans,0.5429
can dispenser,1,Water dispenser,0.7437
shelf lock clips,1,Shelf,0.5046
shelf paper,1,Paper,0.7412
shelf rest,1,Shelf,0.8135
canning lids,1,Plastic lid,0.6463
cap catcher,1,Hats,0.4645
candle holder,1,Candle holder,1.0000
shoe tower,1,Shoe,0.7084
shoe tree,1,Shoe,0.7690
shelving kit,1,Shelving,0.8877
shield,1,Block,0.5084
shelf divider,1,Shelves,0.6786
soap cradle,1,Soap,0.7498
sleeve,1,Jacket,0.6532
sleeve kit,1,Jacket,0.5687
slicer shredder,1,Platter,0.5394
slicing disc,1,Cutting board,0.4258
slipcover,1,Slippers,0.7338
slippers,1,Slippers,1.0000
sock,1,Socks,0.8941
soda siphon,1,Beverage,0.5451
slushy maker,1,Coffee maker,0.5351
smoker box,1,Box,0.6107
snack bag,1,Bag,0.7371
soap case,1,Soap,0.7952
shredding disc,1,Cd player,0.4018
shower curtain o ring,1,Shower curtain,0.8452
shower head caddy,1,Shower head,0.8091
shower hook,1,Shower,0.6958
shower,1,Shower,1.0000
shower bar,1,Towel bar,0.7485
shower coach,1,Shower,0.7031
simmer plate,1,Plate,0.6924
sink,1,Sink,1.0000
sink grid,1,Sinks,0.7163
shower splash guard,1,Shower,0.6147
shower stool,1,Stool,0.7639
shower strip,1,Shower,0.7013
showerhead,1,Showerhead,1.0000
hat,1,Hat,1.0000
hat organizer,1,Hats,0.6750
headrest,1,Footrest,0.6578
hand fan,1,Fan,0.7260
hand soap system,1,Hand soap,0.8643
handbag,1,Handbag,1.0000
garbage bag holder,1,Plastic bag,0.6478
garlic keeper,1,Kitchen,0.4673
gas lift,1,Gas burner,0.5681
hinges,1,Doors,0.5346
honey jar,1,Jar,0.7637
handle wraps,1,Hand towel,0.4786
goblets,1,Playset,0.3902
goggles,1,Glasses,0.6305
glass cleaner,1,Glass,0.7161
glass rimmer,1,Glass,0.6608
game set,1,Chess set,0.7357
egg cups,1,Eggs,0.7533
grill light,1,Light,0.6084
glider,1,Stroller,0.4940
globe,1,Globe,1.0000
glue,1,Toothpaste,0.4922
broiler,1,Broccoli,0.6111
broiler pan set,1,Pans,0.6289
broiler set,1,Broccoli,0.5226
sponge holders,1,Sponge,0.7352
spoon dish,1,Spoon,0.8541
spoon set,1,Spoons,0.8691
spoon spatula,1,Spatula,0.7663
spoonrest,1,Spoon,0.7848
brush set,1,Scrub brush,0.6129
bucket,1,Bucket,1.0000
buffet,1,Buffet,1.0000
buffet tray,1,Buffet,0.8199
brining bag,1,Bag,0.6675
broil pan,1,Pan,0.7284
cake box,1,Cake,0.7559
cake decorating,1,Decor,0.6522
cake decorating kit,1,Cake stand,0.5551
bunkie board,1,Bunk bed,0.7502
burger maker,1,Coffee maker,0.5813
burner bib,1,Gas burner,0.5438
sink saver,1,Sink,0.7137
sink set,1,Sinks,0.7775
sink tidy,1,Sink,0.7726
siphon,1,Water dispenser,0.4948
butter warmer,1,Heater,0.5040
cabinet rack,1,Wall cabinet,0.7663
cable tightener,1,Cable,0.5943
steam pads,1,Floor cushion,0.4912
sprouter,1,Vegetable,0.5176
squeezer,1,Shaker,0.5945
stacker,1,Platter,0.5458
stand mixer,1,Mixer,0.7674
spout,1,Drain,0.5013
steaming rack,1,Rack,0.6890
stein,1,Pens,0.4213
stereo stand,1,Music stand,0.7637
stir stick,1,Stir sticks,0.9279
statue,1,Statue,1.0000
spice jars,1,Spice jars,1.0000
soymilk maker,1,Eggs,0.4594
space bag,1,Bag,0.7535
spacesaver,1,Carriage,0.4130
spatula set,1,Spatula,0.8293
speaker mount,1,Speaker,0.6504
steamer pot,1,Cooking pot,0.7148
spinner,1,Shaker,0.5363
spice bags,1,Spice jars,0.7202
spice jar carousel,1,Spice jar,0.7269
spice jar set,1,Spice jar,0.8612
storage cubes,1,Storage cubes,1.0000
storage dish,1,Dish,0.7364
storage dish set,1,Dish rack,0.6712
storage drawers,1,Storage drawer,0.9091
storage seat,1,Window seat,0.6502
storage boxes,1,Storage box,0.9267
bread bags,1,Breads,0.7795
bowl maker,1,Bowl,0.8106
bowls set,1,Bowls,0.8594
bottle tree,1,Tree,0.7044
bowl brush set,1,Ornamental bowl,0.5622
brewing basket,1,Basket,0.7052
box spring encasement,1,Box,0.4381
boxes,1,Boxes,1.0000
bracket set,1,Block set,0.5620
brackets,1,Wreath,0.3885
braiser pan,1,Pan,0.6840
spray,1,Cleaner,0.5105
spreader,1,Dryer,0.5283
springform,1,Dress form,0.3912
brew,1,Coffee maker,0.6578
brew basket,1,Basket,0.7036
brew pack,1,Coffee maker,0.5794
egg ring,1,Eggs,0.7468
egg tray,1,Tray,0.7026
end tables,1,End table,0.9212
duvet gripper,1,Duvet,0.7627
dvd storage bags,1,Dvds,0.5489
egg boiler,1,Eggs,0.6115
egg cracker,1,Eggs,0.6408
feet,1,Shoe,0.7082
espresso coffeemaker,1,Coffee maker,0.7647
espresso percolator,1,Coffee machine,0.6446
espresso set,1,Canister set,0.5631
eyeglass rack,1,Shoe rack,0.6279
false bottom,1,Floor,0.3764
egg poachers,1,Eggs,0.6991
food ties,1,Food items,0.6381
food tray,1,Tray,0.8673
food warmer,1,Food,0.6331
fan assembly,1,Ceiling fan,0.6144
feather bed,1,Loft bed,0.7080
featherbed,1,Loft bed,0.5165
feeder tray,1,Tray,0.8209
fruit wedger,1,Fruit,0.6890
foundation,1,Makeup,0.4885
frappe maker,1,Coffee maker,0.4786
fruit bowl,1,Fruit bowl,1.0000
food storage vessels,1,Storage containers,0.6749
blender blade,1,Chopping knife,0.5886
blender bottle,1,Glass bottle,0.7634
syrup,1,Sugar packets,0.5852
syrup bottle,1,Bottle,0.7107
table   chairs,1,Chairs,0.9099
table cards,1,Cards,0.7779
bottle cap holder,1,Water bottle,0.6347
book clip,1,Book,0.6218
book holder,1,Bookshelf,0.6764
book tower,1,Bookshelf,0.6224
bookcase headboard,1,Bookcase,0.7691
bookend,1,Bookshelf,0.6074
blanket support,1,Blanket,0.7533
bottle filler,1,Bottle,0.6889
bottle filter,1,Cleaning bottle,0.6774
bottle holder,1,Bottle,0.7354
bottle lock,1,Bottle,0.6749
bookstand,1,Bookshelf,0.6319
boot tray,1,Tray,0.6040
bottle brush,1,Cleaning bottle,0.7410
storage case,1,Storage box,0.7090
storage closet,1,Closet,0.7569
storage bag cutter,1,Plastic bag,0.5832
storage bowls,1,Bowls,0.7941
stirrers,1,Stir sticks,0.7203
bottle cutter,1,Bottle,0.6836
tablecloth clips,1,Tablecloth,0.7579
tablecloth weights,1,Tablecloth,0.7248
taco tote,1,Coffee can,0.3712
tamping mat,1,Mat,0.7464
tea glass,1,Beverage glass,0.7952
tea lights,1,Teapots,0.7189
tea pot,1,Tea pot,1.0000
tea bag holder,1,Cup holder,0.6039
tea ball,1,Ball,0.7376
tea box,1,Tea pot,0.7572
tea cup,1,Teacups,0.8394
straps,1,Backpack,0.5317
storage set,1,Storage unit,0.7573
storage shelves,1,Shelves,0.8883
storage tower,1,Storage unit,0.7241
storage trunk,1,Trunk,0.7931
tea cups,1,Teacups,0.8651
tea filters,1,Teapots,0.5902
table cloth,1,Table cloth,1.0000
sugar pot,1,Pot,0.6661
sunscreen,1,Lotion,0.5360
support,1,Note,0.4255
sushi rolling kit,1,Rolling cart,0.4327
suspender,1,Hanger,0.5321
